	chr7:p22.3	chr7:p13	chr7:q31.2	chr8:p23.1	chr8:q21.3	chr8:q24.22	chr10:p15.3	chr10:q22.1	chr10:q25.1	chr12:p13.32	chr12:q13.13	chr12:q24.11
HNSCC5_p5_P5_H06	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_B12	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_A09	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_C12	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0
HNSCC5_p3_HNSCC5_P3_H01	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_A07	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p5_P5_F11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_C10	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p13_P13_F10	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_C09	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_D08	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_F10	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p13_P13_E03	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_G05	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_E07	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p13_P13_C06	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p5_P5_E11	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_G06	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0
HNSCC5_p9_HNSCC5_P9_G07	1.0	1.0	0.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p5_P5_E03	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_B10	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_A09	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p13_P13_G08	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_A11	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p13_P13_H09	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_H03	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_G03	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p13_P13_G05	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p13_P13_A05	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_E09	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
HNSCC5_p3_HNSCC5_P3_G07	1.0	1.0	0.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p3_HNSCC5_P3_A04	1.0	1.0	0.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0
